股票,名稱,市場,族群,日期,收盤價,漲幅%,MA5,EMA20,KD-K,KD-D,MACD,SIGNAL,成交量,量比,成交值(億),60日高點,20日支撐,距離前高%,RR,AI分數,交易品質,熱門排行
2480,敦陽科技股份有限公司,上市,資訊服務,2026-05-14,150.0,1.01,148.8,145.29,81.02,81.4,2.34,1.67,477601,1.15,0.72,150.0,138.0,0.0,0.0,-10,偏弱,938
2208,台灣國際造船股份有限公司,上市,航運業,2026-05-14,19.75,-1.0,20.32,20.4,17.63,30.61,-0.21,-0.19,3419011,0.79,0.68,24.35,19.75,18.89,0.0,-10,偏弱,939
1309,台達化學工業股份有限公司,上市,塑膠工業,2026-05-14,16.1,-0.62,16.54,18.4,5.11,10.16,-0.9,-0.43,4127915,0.32,0.66,26.5,16.1,39.25,0.0,-10,偏弱,940
2753,八方雲集國際股份有限公司,上市,觀光餐旅,2026-05-14,177.5,-0.56,178.9,179.57,29.61,40.65,-0.76,-0.71,361200,1.41,0.64,193.0,177.5,8.03,0.0,-10,偏弱,941
2504,國產建材實業股份有限公司,上市,建材營造,2026-05-14,34.2,-0.58,34.55,35.23,20.96,23.62,-0.57,-0.51,1829843,0.83,0.63,39.65,34.2,13.75,0.0,-10,偏弱,942
2231,為升電裝工業股份有限公司,上市,汽車工業,2026-05-14,107.0,-4.04,111.1,117.11,12.9,15.16,-1.34,1.43,565669,0.31,0.61,142.5,107.0,24.91,0.0,-10,偏弱,943
2539,櫻花建設股份有限公司,上市,建材營造,2026-05-14,38.65,-1.65,39.22,41.56,14.22,14.28,-2.11,-1.99,1495200,1.06,0.58,50.0,38.65,22.7,0.0,-10,偏弱,944
2236,百達精密工業股份有限公司,上市,汽車工業,2026-05-14,138.5,-0.36,138.9,133.26,62.11,63.4,5.08,5.19,404000,0.72,0.56,142.5,125.5,2.81,0.31,-10,偏弱,945
2630,亞洲航空股份有限公司,上市,航運業,2026-05-14,42.95,-2.5,45.63,47.49,12.09,25.4,-0.98,-0.35,1270592,0.77,0.55,53.8,42.95,20.17,0.0,-10,偏弱,946
1313,聯成化學科技股份有限公司,上市,塑膠工業,2026-05-14,10.55,-4.52,11.03,11.34,30.57,35.34,-0.34,-0.31,4701851,1.06,0.5,13.5,10.55,21.85,0.0,-10,偏弱,947
1305,華夏海灣塑膠股份有限公司,上市,塑膠工業,2026-05-14,12.65,-2.69,12.95,13.98,12.2,13.7,-0.7,-0.54,3679294,0.53,0.47,18.45,12.65,31.44,0.0,-10,偏弱,948
1310,台灣苯乙烯工業股份有限公司,上市,塑膠工業,2026-05-14,8.04,-3.71,8.44,9.18,2.89,5.09,-0.56,-0.46,5698603,1.2,0.46,12.25,8.04,34.37,0.0,-10,偏弱,949
1434,福懋興業股份有限公司,上市,紡織纖維,2026-05-14,15.35,-1.29,15.67,15.98,19.55,30.58,-0.26,-0.22,2962102,1.49,0.45,18.45,15.35,16.8,0.0,-10,偏弱,950
1909,榮成紙業股份有限公司,上市,造紙工業,2026-05-14,8.95,-1.76,9.14,9.23,51.73,52.68,-0.14,-0.14,4168943,1.37,0.37,10.75,8.95,16.74,0.0,-10,偏弱,951
1227,佳格食品股份有限公司,上市,食品工業,2026-05-14,28.55,-0.87,28.81,29.17,14.57,18.78,-0.34,-0.3,1309101,1.18,0.37,31.05,28.55,8.05,0.0,-10,偏弱,952
6592,和潤企業股份有限公司,上市,其他,2026-05-14,59.8,-0.17,60.3,61.55,7.91,15.13,-0.72,-0.46,608480,1.03,0.36,65.9,59.8,9.26,0.0,-10,偏弱,953
2104,國際中橡投資控股股份有限公司,上市,橡膠工業,2026-05-14,9.94,-0.6,10.12,10.65,8.23,12.67,-0.46,-0.42,3525154,1.04,0.35,13.7,9.94,27.45,0.0,-10,偏弱,954
6024,群益期貨股份有限公司,上市,金融保險,2026-05-14,56.5,-1.22,57.52,56.79,46.67,63.71,0.52,0.55,600000,1.47,0.34,58.2,55.1,2.92,1.21,-10,偏弱,955
2034,允強實業股份有限公司,上市,鋼鐵工業,2026-05-14,19.95,-0.25,20.5,20.74,19.66,37.33,-0.05,0.09,1722948,0.88,0.34,22.0,19.95,9.32,0.0,-10,偏弱,956
1308,亞洲聚合股份有限公司,上市,塑膠工業,2026-05-14,13.3,-0.37,13.43,14.44,6.17,7.58,-0.73,-0.6,2579817,0.57,0.34,19.4,13.3,31.44,0.0,-10,偏弱,957
2547,日勝生活科技股份有限公司,上市,建材營造,2026-05-14,10.0,-0.5,10.15,10.35,6.46,9.72,-0.17,-0.15,3065948,1.33,0.31,11.45,10.0,12.66,0.0,-10,偏弱,958
2820,中華票券金融股份有限公司,上市,金融保險,2026-05-14,16.75,-0.89,16.9,16.91,26.02,34.22,-0.02,-0.0,1826909,1.2,0.31,17.45,16.75,4.01,0.0,-10,偏弱,959
7780,大研生醫國際股份有限公司,上市,食品工業,2026-05-14,18.0,-1.91,18.31,18.95,16.52,17.93,-0.59,-0.56,1706348,0.71,0.31,27.3,18.0,34.07,0.0,-10,偏弱,960
1440,臺南紡織股份有限公司,上市,紡織纖維,2026-05-14,11.65,-1.69,11.99,12.48,8.57,10.64,-0.3,-0.19,2584446,1.4,0.3,13.75,11.65,15.27,0.0,-10,偏弱,961
1612,宏泰電工股份有限公司,上市,電器電纜,2026-05-14,36.15,-1.9,36.75,36.16,59.09,72.7,0.41,0.36,817197,0.89,0.3,37.25,34.8,2.95,0.81,-10,偏弱,962
1710,東聯化學股份有限公司,上市,化學工業,2026-05-14,11.95,-0.42,12.15,12.81,6.56,9.91,-0.48,-0.39,1982730,0.57,0.24,15.7,11.95,23.89,0.0,-10,偏弱,963
5608,四維航業股份有限公司,上市,航運業,2026-05-14,14.6,-1.02,14.94,15.41,12.41,23.04,-0.4,-0.37,1574885,1.08,0.23,18.85,14.6,22.55,0.0,-10,偏弱,964
3703,欣陸投資控股股份有限公司,上市,建材營造,2026-05-14,20.15,-0.74,20.48,20.92,20.6,26.5,-0.44,-0.42,1118424,0.86,0.23,23.15,20.15,12.96,0.0,-10,偏弱,965
6112,邁達特數位股份有限公司,上市,資訊服務,2026-05-14,42.35,-0.35,43.35,45.08,10.0,19.81,-0.76,-0.29,530024,0.88,0.22,49.25,42.35,14.01,0.0,-10,偏弱,966
2414,精技電腦股份有限公司,上市,電子通路,2026-05-14,48.7,1.04,48.27,46.74,66.56,67.57,1.14,1.01,424975,1.33,0.21,48.9,45.2,0.41,0.06,-10,偏弱,967
1231,聯華食品工業股份有限公司,上市,食品工業,2026-05-14,85.8,-0.35,86.34,87.45,31.82,37.39,-1.02,-0.96,244588,0.73,0.21,94.4,85.8,9.11,0.0,-10,偏弱,968
2913,台灣農林股份有限公司,上市,貿易百貨,2026-05-14,10.95,-0.9,11.15,11.4,19.64,25.94,-0.29,-0.29,1775181,0.81,0.19,13.2,10.95,17.05,0.0,-10,偏弱,969
1104,環球水泥股份有限公司,上市,水泥工業,2026-05-14,27.9,-0.53,28.15,28.5,19.2,25.57,-0.32,-0.29,616149,0.82,0.17,30.15,27.9,7.46,0.0,-10,偏弱,970
2545,皇翔建設股份有限公司,上市,建材營造,2026-05-14,37.9,-1.43,38.53,37.9,61.27,73.75,0.45,0.44,428464,1.1,0.16,39.0,36.4,2.82,0.73,-10,偏弱,971
1449,佳和實業股份有限公司,上市,紡織纖維,2026-05-14,12.9,-3.73,13.44,13.45,35.96,37.57,0.02,0.13,1258565,0.61,0.16,16.4,12.9,21.34,0.0,-10,偏弱,972
1232,大統益股份有限公司,上市,食品工業,2026-05-14,147.5,-0.34,147.8,148.61,11.84,16.81,-0.56,-0.42,105000,1.18,0.15,153.0,147.5,3.59,0.0,-10,偏弱,973
5519,隆大營建事業股份有限公司,上市,建材營造,2026-05-14,32.1,-0.77,32.64,32.73,28.41,43.05,-0.14,-0.11,458025,0.9,0.15,35.3,32.1,9.07,0.0,-10,偏弱,974
2527,宏璟建設股份有限公司,上市,建材營造,2026-05-14,33.35,-2.2,34.03,34.09,20.67,29.35,0.28,0.59,451012,0.66,0.15,39.7,33.35,15.99,0.0,-10,偏弱,975
5225,東科控股股份有限公司,上市,其他電子,2026-05-14,70.8,-0.98,72.34,75.92,13.11,23.87,-2.88,-2.74,218000,0.61,0.15,103.5,70.8,31.59,0.0,-10,偏弱,976
1712,興農股份有限公司,上市,化學工業,2026-05-14,41.25,-0.48,41.48,42.17,20.32,29.72,-0.59,-0.59,352546,0.55,0.15,47.15,41.25,12.51,0.0,-10,偏弱,977
2243,宏旭控股股份有限公司,上市,汽車工業,2026-05-14,21.0,-3.23,22.07,23.46,12.17,25.35,0.35,1.17,725012,0.41,0.15,28.2,21.0,25.53,0.0,-10,偏弱,978
2468,華經資訊企業股份有限公司,上市,資訊服務,2026-05-14,32.85,-1.79,33.98,34.28,13.99,26.02,-0.43,-0.4,394001,1.06,0.13,41.8,32.85,21.41,0.0,-10,偏弱,979
9908,大台北區瓦斯股份有限公司,上市,油電燃氣,2026-05-14,29.25,-0.51,29.35,29.54,19.27,23.17,-0.16,-0.15,449643,1.03,0.13,34.5,29.25,15.22,0.0,-10,偏弱,980
1587,吉茂精密股份有限公司,上市,汽車工業,2026-05-14,29.1,-2.51,30.15,32.3,11.67,16.12,-1.66,-1.44,450232,0.97,0.13,46.45,29.1,37.35,0.0,-10,偏弱,981
4306,炎洲股份有限公司,上市,塑膠工業,2026-05-14,13.05,-0.38,13.16,13.28,23.42,31.4,-0.12,-0.1,976891,0.96,0.13,14.05,13.05,7.12,0.0,-10,偏弱,982
2836,高雄銀行股份有限公司,上市,金融保險,2026-05-14,11.8,-0.42,11.85,11.93,22.18,32.56,-0.08,-0.08,1053487,0.6,0.12,12.9,11.8,8.53,0.0,-10,偏弱,983
2536,宏普建設股份有限公司,上市,建材營造,2026-05-14,20.1,-0.99,20.38,21.15,6.18,11.47,-0.56,-0.45,559020,1.49,0.11,24.15,20.1,16.77,0.0,-10,偏弱,984
2102,泰豐輪胎股份有限公司,上市,橡膠工業,2026-05-14,18.15,-1.09,18.49,18.83,20.17,25.28,-0.29,-0.23,593315,1.27,0.11,21.05,18.15,13.78,0.0,-10,偏弱,985
2537,聯上開發股份有限公司,上市,建材營造,2026-05-14,9.99,-0.1,10.12,10.27,7.57,13.1,-0.08,-0.03,1123043,1.16,0.11,10.7,9.99,6.64,0.0,-10,偏弱,986
2511,太子建設開發股份有限公司,上市,建材營造,2026-05-14,7.64,-0.78,7.73,7.9,21.4,25.94,-0.11,-0.08,1403426,0.98,0.11,8.37,7.64,8.72,0.0,-10,偏弱,987
2613,中國貨櫃運輸股份有限公司,上市,航運業,2026-05-14,21.5,-1.38,21.99,22.48,14.06,23.08,-0.43,-0.4,487571,1.44,0.1,27.75,21.5,22.52,0.0,-10,偏弱,988
3346,麗清科技股份有限公司,上市,汽車工業,2026-05-14,15.8,-1.56,16.52,17.24,8.31,14.07,-0.62,-0.52,618456,1.2,0.1,21.6,15.8,26.85,0.0,-10,偏弱,989
2608,嘉里大榮物流股份有限公司,上市,航運業,2026-05-14,29.6,-0.34,29.81,30.16,8.92,14.38,-0.33,-0.3,331552,0.98,0.1,32.75,29.6,9.62,0.0,-10,偏弱,990
9927,泰銘實業股份有限公司,上市,其他,2026-05-14,68.2,-0.29,68.48,68.66,29.1,32.19,-0.13,-0.04,133939,1.38,0.09,70.7,68.2,3.54,0.0,-10,偏弱,991
1611,中國電器股份有限公司,上市,電器電纜,2026-05-14,11.2,-2.18,11.6,11.88,15.23,27.04,-0.26,-0.22,764545,1.32,0.09,13.7,11.2,18.25,0.0,-10,偏弱,992
1615,大山電線電纜股份有限公司,上市,電器電纜,2026-05-14,43.1,-1.03,43.9,45.28,5.48,8.98,-0.71,-0.37,207090,1.14,0.09,48.95,43.1,11.95,0.0,-10,偏弱,993
9940,信義房屋股份有限公司,上市,其他,2026-05-14,18.6,-2.11,19.07,19.57,11.68,19.1,-0.32,-0.22,475991,0.86,0.09,22.3,18.6,16.59,0.0,-10,偏弱,994
2601,益航股份有限公司,上市,貿易百貨,2026-05-14,4.76,-1.24,4.88,5.15,13.12,16.25,-0.25,-0.23,1838300,0.85,0.09,7.19,4.76,33.8,0.0,-10,偏弱,995
2705,六福開發股份有限公司,上市,觀光餐旅,2026-05-14,15.3,-2.55,15.75,16.28,7.58,12.68,-0.28,-0.13,520089,1.4,0.08,17.7,15.3,13.56,0.0,-10,偏弱,996
1219,福壽實業股份有限公司,上市,食品工業,2026-05-14,12.95,-1.15,13.19,13.48,10.37,15.07,-0.2,-0.13,616211,1.15,0.08,14.6,12.95,11.3,0.0,-10,偏弱,997
6698,旭暉應用材料股份有限公司,上市,其他電子,2026-05-14,30.0,-2.28,31.11,30.96,23.31,35.54,-0.11,-0.07,269065,0.81,0.08,35.05,30.0,14.41,0.0,-10,偏弱,998
6625,必應創造股份有限公司,上市,其他,2026-05-14,72.0,-0.41,72.9,74.23,13.57,20.12,-1.33,-1.27,113626,0.64,0.08,83.4,72.0,13.67,0.0,-10,偏弱,999
1414,東和紡織股份有限公司,上市,紡織纖維,2026-05-14,15.75,-0.94,16.0,16.45,16.63,27.57,-0.41,-0.41,443701,1.44,0.07,20.9,15.75,24.64,0.0,-10,偏弱,1000
3052,夆典科技開發股份有限公司,上市,建材營造,2026-05-14,10.55,-0.94,10.66,10.78,22.71,33.21,-0.11,-0.1,690070,1.08,0.07,11.7,10.55,9.83,0.0,-10,偏弱,1001
7631,聚賢研發股份有限公司,上市,其他電子,2026-05-14,123.0,-2.38,125.7,126.18,42.47,42.78,0.99,1.99,60314,0.58,0.07,140.5,123.0,12.46,0.0,-10,偏弱,1002
1218,泰山企業股份有限公司,上市,食品工業,2026-05-14,18.75,-0.79,18.96,18.96,44.99,55.72,-0.03,-0.02,397833,0.57,0.07,19.5,18.75,3.85,0.0,-10,偏弱,1003
1103,嘉新水泥股份有限公司,上市,水泥工業,2026-05-14,13.05,-1.14,13.28,13.45,18.26,24.33,-0.13,-0.1,427626,1.31,0.06,14.15,13.05,7.77,0.0,-10,偏弱,1004
2611,志信國際股份有限公司,上市,航運業,2026-05-14,13.1,-1.13,13.4,13.68,19.77,27.5,-0.3,-0.28,445417,1.07,0.06,15.5,13.1,15.48,0.0,-10,偏弱,1005
2038,海光企業股份有限公司,上市,鋼鐵工業,2026-05-14,13.5,-1.1,13.8,14.24,11.29,18.24,-0.38,-0.34,424332,0.96,0.06,16.25,13.5,16.92,0.0,-10,偏弱,1006
2488,漢平電子工業股份有限公司,上市,其他電子,2026-05-14,51.8,0.19,51.96,51.25,64.07,65.03,0.64,0.71,108168,0.46,0.06,52.5,50.5,1.33,0.54,-10,偏弱,1007
5706,鳳凰國際旅行社股份有限公司,上市,觀光餐旅,2026-05-14,50.3,-0.4,50.84,51.23,24.47,37.51,-0.25,-0.13,110711,0.42,0.06,57.2,50.3,12.06,0.0,-10,偏弱,1008
6184,大豐有線電視股份有限公司,上市,其他,2026-05-14,46.15,-0.86,46.53,46.9,12.63,14.75,-0.3,-0.25,98000,1.44,0.05,48.25,46.15,4.35,0.0,-10,偏弱,1009
1201,味全食品工業股份有限公司,上市,食品工業,2026-05-14,12.15,-0.82,12.24,12.6,13.76,13.79,-0.34,-0.33,438642,0.92,0.05,14.65,12.15,17.06,0.0,-10,偏弱,1010
5531,鄉林建設事業股份有限公司,上市,建材營造,2026-05-14,8.07,-2.54,8.28,8.43,24.05,32.61,-0.16,-0.14,570175,0.83,0.05,9.05,8.07,10.83,0.0,-10,偏弱,1011
8072,陞泰科技股份有限公司,上市,電子通路,2026-05-14,27.2,-2.16,27.86,28.16,25.5,34.27,-0.21,-0.1,179600,0.66,0.05,31.45,27.2,13.51,0.0,-10,偏弱,1012
1110,東南水泥股份有限公司,上市,水泥工業,2026-05-14,14.4,0.0,14.83,15.05,23.66,29.9,-0.18,-0.11,271070,1.38,0.04,16.7,14.4,13.77,0.0,-10,偏弱,1013
7736,虎山實業股份有限公司,上市,汽車工業,2026-05-14,71.5,-2.05,74.2,76.4,19.79,27.52,-2.15,-1.87,55642,1.27,0.04,91.8,71.5,22.11,0.0,-10,偏弱,1014
1617,榮星電線工業股份有限公司,上市,電器電纜,2026-05-14,14.8,-2.63,14.96,15.1,36.46,38.05,-0.07,-0.03,243000,1.18,0.04,16.3,14.8,9.2,0.0,-10,偏弱,1015
6722,輝創電子股份有限公司,上市,其他電子,2026-05-14,38.5,-0.52,39.55,39.72,39.97,57.77,-0.28,-0.21,114216,1.16,0.04,44.1,38.5,12.7,0.0,-10,偏弱,1016
3043,科風股份有限公司,上市,其他電子,2026-05-14,19.55,-1.26,19.99,20.27,12.98,14.03,-0.2,-0.11,204114,1.13,0.04,23.15,19.55,15.55,0.0,-10,偏弱,1017
5007,三星科技股份有限公司,上市,鋼鐵工業,2026-05-14,57.0,-1.72,57.7,57.73,49.2,54.83,0.08,0.18,65470,1.0,0.04,61.5,57.0,7.32,0.0,-10,偏弱,1018
2538,基泰建設股份有限公司,上市,建材營造,2026-05-14,9.59,-0.83,9.75,9.86,31.81,40.33,-0.11,-0.1,398709,0.87,0.04,10.8,9.59,11.2,0.0,-10,偏弱,1019
1217,愛之味股份有限公司,上市,食品工業,2026-05-14,9.61,-0.41,9.64,9.88,5.43,7.11,-0.18,-0.15,434931,0.59,0.04,10.7,9.61,10.19,0.0,-10,偏弱,1020
8429,金麗集團控股有限公司,上市,貿易百貨,2026-05-14,6.23,-1.89,6.39,6.55,12.57,17.72,-0.14,-0.13,468391,1.45,0.03,7.48,6.23,16.71,0.0,-10,偏弱,1021
1614,台灣三洋電機股份有限公司,上市,電器電纜,2026-05-14,31.15,-1.58,31.66,31.87,17.63,27.33,-0.2,-0.16,95064,1.4,0.03,34.75,31.15,10.36,0.0,-10,偏弱,1022
2373,震旦行股份有限公司,上市,其他電子,2026-05-14,55.7,-1.07,56.36,56.78,12.32,19.1,-0.12,0.09,60000,1.35,0.03,58.7,55.7,5.11,0.0,-10,偏弱,1023
4994,傳奇網路遊戲股份有限公司,上市,資訊服務,2026-05-14,92.2,-4.06,96.06,97.19,23.24,32.85,-0.79,-0.27,30000,1.34,0.03,105.0,92.2,12.19,0.0,-10,偏弱,1024
1337,亞洲塑膠再生資源控股有限公司,上市,塑膠工業,2026-05-14,4.9,-1.01,4.95,5.16,16.1,17.68,-0.2,-0.2,628872,1.14,0.03,6.43,4.9,23.79,0.0,-10,偏弱,1025
2254,巨鎧精密工業股份有限公司,上市,汽車工業,2026-05-14,58.5,-4.1,62.82,68.31,4.2,6.77,-2.53,-0.7,45331,0.98,0.03,86.1,58.5,32.06,0.0,-10,偏弱,1026
1466,聚隆纖維股份有限公司,上市,紡織纖維,2026-05-14,14.35,-1.03,15.11,15.88,11.77,19.42,-0.52,-0.34,197014,0.85,0.03,19.95,14.35,28.07,0.0,-10,偏弱,1027
2028,威致鋼鐵工業股份有限公司,上市,鋼鐵工業,2026-05-14,16.65,-1.19,16.93,17.52,5.39,8.9,-0.43,-0.32,155016,0.82,0.03,19.5,16.65,14.62,0.0,-10,偏弱,1028
2509,全坤建設開發股份有限公司,上市,建材營造,2026-05-14,13.05,-0.76,13.18,13.56,12.03,12.76,-0.28,-0.23,207011,0.7,0.03,14.7,13.05,11.22,0.0,-10,偏弱,1029
2706,第一華僑大飯店股份有限公司,上市,觀光餐旅,2026-05-14,12.15,-0.82,12.3,12.39,18.04,31.43,-0.07,-0.04,167368,1.33,0.02,12.95,12.15,6.18,0.0,-10,偏弱,1030
5907,Grand Ocean RetailGroupLimited,上市,貿易百貨,2026-05-14,5.17,-0.96,5.25,5.41,6.85,11.18,-0.14,-0.12,366000,1.3,0.02,6.02,5.17,14.12,0.0,-10,偏弱,1031
2642,台灣宅配通股份有限公司,上市,航運業,2026-05-14,21.05,-0.94,21.36,21.9,13.57,16.4,-0.53,-0.51,90399,1.1,0.02,25.15,21.05,16.3,0.0,-10,偏弱,1032
6201,亞弘電科技股份有限公司,上市,其他電子,2026-05-14,49.5,0.0,49.86,50.35,21.27,22.96,-0.35,-0.27,38131,1.0,0.02,54.5,49.5,9.17,0.0,-10,偏弱,1033
1457,宜進實業股份有限公司,上市,紡織纖維,2026-05-14,14.2,-0.7,14.35,14.59,14.78,23.84,-0.23,-0.23,136448,1.0,0.02,16.35,14.2,13.15,0.0,-10,偏弱,1034
2433,互盛股份有限公司,上市,其他電子,2026-05-14,45.15,-0.88,45.5,45.56,38.03,45.54,-0.13,-0.13,37189,0.99,0.02,47.25,45.15,4.44,0.0,-10,偏弱,1035
2514,龍邦國際興業股份有限公司,上市,其他,2026-05-14,13.05,-0.76,13.17,13.3,20.24,33.35,-0.13,-0.13,180000,0.73,0.02,15.0,13.05,13.0,0.0,-10,偏弱,1036
9926,新海瓦斯股份有限公司,上市,油電燃氣,2026-05-14,49.0,-0.1,49.14,49.41,10.67,18.83,-0.22,-0.19,35649,0.62,0.02,57.2,49.0,14.34,0.0,-10,偏弱,1037
1473,台南企業股份有限公司,上市,紡織纖維,2026-05-14,20.25,-1.22,20.57,21.54,7.94,9.21,-0.85,-0.78,74365,0.53,0.02,25.95,20.25,21.97,0.0,-10,偏弱,1038
9905,大華金屬工業股份有限公司,上市,其他,2026-05-14,21.0,-0.24,21.15,21.25,14.42,23.29,-0.01,0.05,75000,0.47,0.02,21.8,21.0,3.67,0.0,-10,偏弱,1039
1470,大統新創股份有限公司,上市,紡織纖維,2026-05-14,21.4,-0.47,22.0,22.28,19.71,28.01,-0.18,-0.06,26000,1.46,0.01,23.7,21.4,9.7,0.0,-10,偏弱,1040
2939,永邑國際集團股份有限公司,上市,貿易百貨,2026-05-14,23.7,-3.66,24.46,24.89,25.71,35.8,-0.24,-0.11,24254,1.26,0.01,27.15,23.7,12.71,0.0,-10,偏弱,1041
1805,寶徠建設股份有限公司,上市,建材營造,2026-05-14,10.25,-0.49,10.39,10.6,32.74,45.0,-0.13,-0.09,144022,1.22,0.01,12.0,10.25,14.58,0.0,-10,偏弱,1042
1452,宏益纖維工業股份有限公司,上市,紡織纖維,2026-05-14,11.0,0.0,11.06,11.32,6.44,6.92,-0.16,-0.11,95300,1.1,0.01,12.05,11.0,8.71,0.0,-10,偏弱,1043
2701,萬華企業股份有限公司,上市,觀光餐旅,2026-05-14,10.4,-0.95,10.57,10.67,12.96,24.85,-0.07,-0.04,91327,1.0,0.01,11.15,10.4,6.73,0.0,-10,偏弱,1044
2906,高林實業股份有限公司,上市,貿易百貨,2026-05-14,12.25,-0.41,12.32,12.5,16.44,24.01,-0.15,-0.13,118928,0.94,0.01,13.25,12.25,7.55,0.0,-10,偏弱,1045
1474,弘裕企業股份有限公司,上市,紡織纖維,2026-05-14,9.9,-0.9,9.98,10.04,21.31,27.39,-0.05,-0.04,86020,0.88,0.01,10.55,9.9,6.16,0.0,-10,偏弱,1046
1203,味王股份有限公司,上市,食品工業,2026-05-14,42.65,-0.47,43.28,42.91,40.18,51.46,0.52,0.75,27081,0.83,0.01,44.25,42.65,3.62,0.0,-10,偏弱,1047
1465,偉全實業股份有限公司,上市,紡織纖維,2026-05-14,11.95,-1.24,12.11,12.24,21.08,30.11,-0.08,-0.05,68125,0.81,0.01,13.1,11.95,8.78,0.0,-10,偏弱,1048
1906,寶隆國際股份有限公司,上市,造紙工業,2026-05-14,10.7,0.0,10.83,11.23,9.33,12.49,-0.26,-0.18,108050,0.8,0.01,13.9,10.7,23.02,0.0,-10,偏弱,1049
4581,World Known MFG(Cayman)Limited,上市,汽車工業,2026-05-14,49.4,-1.2,50.04,50.06,16.13,22.72,-0.0,0.06,17000,0.79,0.01,51.1,49.4,3.33,0.0,-10,偏弱,1050
1417,嘉裕股份有限公司,上市,紡織纖維,2026-05-14,8.3,-0.95,8.52,8.75,16.4,24.39,-0.13,-0.07,102264,0.77,0.01,9.18,8.3,9.59,0.0,-10,偏弱,1051
1453,大將開發股份有限公司,上市,建材營造,2026-05-14,11.35,-0.44,11.49,11.78,19.74,27.75,-0.21,-0.17,65118,0.75,0.01,13.4,11.35,15.3,0.0,-10,偏弱,1052
1235,興泰實業股份有限公司,上市,食品工業,2026-05-14,40.0,-6.21,43.51,43.47,34.59,48.62,0.17,0.66,22005,0.72,0.01,47.8,40.0,16.32,0.0,-10,偏弱,1053
6504,南六企業股份有限公司,上市,其他,2026-05-14,38.75,-0.77,39.55,39.84,22.21,32.48,-0.38,-0.31,29000,0.64,0.01,43.0,38.75,9.88,0.0,-10,偏弱,1054
1525,江申工業股份有限公司,上市,汽車工業,2026-05-14,59.8,-0.33,60.88,61.48,16.51,31.66,-0.27,-0.06,18000,0.62,0.01,64.5,59.8,7.29,0.0,-10,偏弱,1055
5533,皇鼎建設開發股份有限公司,上市,建材營造,2026-05-14,13.95,-0.71,14.01,14.21,14.37,19.23,-0.12,-0.08,105013,0.57,0.01,14.75,13.95,5.42,0.0,-10,偏弱,1056
2904,匯僑股份有限公司,上市,其他,2026-05-14,15.45,-0.32,15.6,16.06,5.73,10.03,-0.32,-0.25,41152,0.56,0.01,17.7,15.45,12.71,0.0,-10,偏弱,1057
1236,宏亞食品股份有限公司,上市,食品工業,2026-05-14,24.5,-0.2,25.39,25.74,30.12,46.21,-0.3,-0.18,30022,0.54,0.01,28.15,24.5,12.97,0.0,-10,偏弱,1058
1441,大東紡織股份有限公司,上市,紡織纖維,2026-05-14,9.64,-1.33,9.8,10.21,8.73,10.39,-0.19,-0.04,116625,0.53,0.01,14.0,9.64,31.14,0.0,-10,偏弱,1059
1626,艾美特(開曼)國際有限公司,上市,電器電纜,2026-05-14,10.0,-5.21,10.59,10.8,14.56,21.85,-0.03,0.1,143000,0.5,0.01,12.0,10.0,16.67,0.0,-10,偏弱,1060
2702,華園飯店股份有限公司,上市,觀光餐旅,2026-05-14,13.0,-4.06,13.7,14.6,12.68,21.42,-0.08,0.35,79039,0.25,0.01,17.8,13.0,26.97,0.0,-10,偏弱,1061
8488,吉源控股股份有限公司,上市,其他,2026-05-14,9.89,-1.0,9.98,10.05,19.29,27.72,-0.02,0.02,14000,1.41,0.0,10.55,9.89,6.26,0.0,-10,偏弱,1062
8443,阿瘦實業股份有限公司,上市,貿易百貨,2026-05-14,11.5,-1.29,11.66,11.79,30.08,42.86,-0.08,-0.04,26112,0.92,0.0,12.1,11.5,4.96,0.0,-10,偏弱,1063
5546,永固集團股份有限公司,上市,建材營造,2026-05-14,15.95,-1.54,16.25,16.59,23.4,26.67,-0.34,-0.34,25000,0.75,0.0,23.0,15.95,30.65,0.0,-10,偏弱,1064
2024,志聯工業股份有限公司,上市,鋼鐵工業,2026-05-14,13.4,-1.83,13.76,14.06,29.65,32.1,-0.3,-0.26,13623,0.62,0.0,16.7,13.4,19.76,0.0,-10,偏弱,1065
1439,雋揚國際股份有限公司,上市,建材營造,2026-05-14,25.6,-2.48,26.37,26.67,28.44,39.81,-0.37,-0.34,18633,0.54,0.0,30.45,25.6,15.93,0.0,-10,偏弱,1066
5906,台南生活(開曼)股份有限公司,上市,貿易百貨,2026-05-14,46.45,-0.11,47.21,48.63,15.82,32.48,-0.49,-0.1,1000,0.29,0.0,53.3,46.45,12.85,0.0,-10,偏弱,1067
2712,遠雄悅來大飯店股份有限公司,上市,觀光餐旅,2026-05-14,16.0,-2.44,16.68,16.85,19.5,38.69,0.09,0.29,6000,0.23,0.0,17.9,16.0,10.61,0.0,-10,偏弱,1068
2897,王道商業銀行股份有限公司,上市,金融保險,2026-05-14,10.05,-0.99,10.16,10.13,40.57,48.7,0.03,0.04,3490393,1.07,0.35,10.35,10.05,2.9,0.0,-11,偏弱,1069
9925,台灣新光保全股份有限公司,上市,其他,2026-05-14,40.2,-0.37,40.32,40.42,31.65,35.82,-0.1,-0.1,228070,0.73,0.09,41.15,40.2,2.31,0.0,-11,偏弱,1070
